cc_num,merchant,category,amt,first,last,gender,street,zip,lat,long,city_pop,job,dob,trans_num,unix_time,merch_lat,merch_long,is_fraud,Trans_Date,Trans_Time,location
383,319,10,2.86,Jeff,Elliott,0,336,29209,33.9659,-80.9355,333497,273,360,1476,1371816865.0,33.986391,-81.200714,0.0,0,724,170
521,591,10,29.84,Joanne,Williams,1,349,84002,40.3207,-110.436,302,389,740,1625,1371816873.0,39.450498,-109.960431,0.0,0,724,19
564,611,5,41.28,Ashley,Lopez,1,842,11710,40.6729,-73.5365,34496,257,403,6450,1371816893.0,40.49581,-74.196111,0.0,0,724,68
551,222,9,60.05,Brian,Williams,0,315,32780,28.5697,-80.8191,54767,404,698,1060,1371816915.0,28.812398,-80.883061,0.0,0,725,774
443,292,13,3.19,Nathan,Massey,0,538,49632,44.2529,-85.017,1126,194,171,2795,1371816917.0,44.959148,-85.884734,0.0,0,725,260
177,126,7,19.55,Danielle,Evans,1,709,14816,42.1939,-76.7361,520,358,775,3901,1371816937.0,41.747157,-77.584197,0.0,0,725,99
263,526,5,133.93,Kayla,Sutton,1,8,95528,40.507,-123.9743,1139,450,126,732,1371816944.0,41.499458,-124.888729,0.0,0,725,129
549,500,10,10.37,Paula,Estrada,1,335,57374,43.7557,-97.5936,343,123,433,4500,1371816950.0,44.495498,-97.728453,0.0,0,725,735
559,201,12,4.37,David,Everett,0,395,16858,41.0001,-78.2357,3688,13,453,3615,1371816970.0,41.546067,-78.120238,0.0,0,726,517
476,315,1,66.54,Kayla,Obrien,1,730,76678,31.6591,-96.8094,263,40,182,5418,1371816971.0,31.782919,-96.366185,0.0,0,726,638
363,170,1,7.01,Samuel,Jenkins,0,410,40077,38.4921,-85.4524,564,317,835,1897,1371816980.0,38.977546,-84.727994,0.0,0,726,836
25,197,7,42.4,Louis,Fisher,0,432,82514,43.0048,-108.8964,1645,192,504,7998,1371817007.0,42.687774,-108.670054,0.0,0,726,271
793,100,6,2.91,Melissa,Meza,1,220,33470,26.7383,-80.276,26551,313,524,5223,1371817041.0,26.07846,-80.569932,0.0,0,727,453
132,34,1,7.93,William,Thompson,0,885,12575,41.4575,-74.1659,2258,50,48,6730,1371817107.0,40.71168,-73.668384,0.0,0,728,671
747,398,7,2.91,Ashley,Whitney,1,389,36749,32.5104,-86.8138,1089,272,411,3089,1371817117.0,32.721131,-87.253846,0.0,0,728,386
648,662,0,24.73,Christine,Leblanc,1,481,32725,28.8989,-81.2473,88735,87,721,7535,1371817121.0,29.83155,-80.926829,0.0,0,728,209
873,252,12,2.33,Charles,Moreno,0,767,33040,24.6557,-81.3824,32891,455,686,18,1371817134.0,24.306325,-81.065169,0.0,0,728,398
696,369,7,16.6,Lauren,Torres,1,24,76050,32.2779,-97.2351,5875,372,783,3251,1371817190.0,33.182349,-97.919284,0.0,0,729,294
870,437,0,80.11,Ashley,Cruz,1,607,70774,30.2385,-90.8435,10076,423,533,3620,1371817196.0,30.44999,-89.930996,0.0,0,729,689
779,489,10,5.71,Gina,Grimes,1,419,16114,41.3851,-80.1752,606,144,845,1471,1371817213.0,40.508064,-79.615158,0.0,0,730,150
377,109,13,8.53,Shannon,Williams,1,843,30009,34.077,-84.3033,165556,336,851,706,1371817234.0,33.195225,-84.119083,0.0,0,730,15
845,197,7,37.95,Stacy,Villegas,1,186,80951,38.8881,-104.6556,525713,289,785,5740,1371817242.0,39.844711,-103.975632,0.0,0,730,168
105,621,13,1.74,Christopher,Johnson,0,270,45331,40.0987,-84.6342,22930,275,422,6981,1371817257.0,40.117116,-84.175021,0.0,0,730,303
